gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,played,in_dreamteam
2,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,376,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,True,False
2,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,380,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,4,True,False
2,381,87,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,4,True,False
2,382,72,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,True,False
2,383,90,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,True,False
2,384,72,0,1,0,1,0,0,0,1,0,0,2,0,0,4,1,6,True,False
2,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,386,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,387,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,389,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,True,False
2,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,393,90,0,0,1,0,0,0,0,1,0,0,0,2,0,0,10,7,True,False
2,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,395,77,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,4,True,False
2,396,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,True,False
2,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,398,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,3,True,False
2,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,404,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,405,62,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,8,True,False
2,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,407,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,408,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7,5,True,False
2,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,411,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,True,False
2,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,416,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,True,False
2,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,421,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,423,90,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,6,True,False
2,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,425,62,0,1,1,0,0,0,0,1,0,0,1,0,0,2,3,6,True,False
2,426,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,429,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,True,False
2,430,90,0,1,1,0,0,0,0,0,0,0,1,0,0,2,3,10,True,True
2,431,90,0,1,1,0,0,0,0,0,0,0,1,0,0,3,3,10,True,False
2,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,434,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,True,False
2,435,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,436,90,1,0,1,0,0,0,0,0,0,0,1,0,1,3,5,10,True,True
2,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,439,90,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6,True,False
2,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,441,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,True,False
2,442,58,3,1,0,0,0,0,0,0,0,0,1,0,0,2,1,18,True,True
2,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,445,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,446,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,True,False
2,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,456,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,457,77,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,4,True,False
2,458,58,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,9,True,False
2,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,463,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,True,False
